keys,en,es,pl,de,ru,uk,ja,zh_CN,zh_TW
MATCH_OPTION_MATCHMAKER_DESCRIPTION,"There is matchmaking, but this is a tiny indie game. Don't expect to find randos to battle! It's super cheap - buy a couple copies for your friends!","Hay emparejamiento, pero se trata de un pequeño juego indie. No esperes encontrar a alguien con quien luchar. Es súper barato: ¡compra un par de copias para tus amigos!","Istnieje możliwość dobierania graczy, ale to mała gra indie. Nie spodziewaj się, że znajdziesz w niej losowych kompanów do walki! Gra jest tania jak barszcz - kup kilka kopii dla swoich przyjaciół!","Es gibt zwar Matchmaking, aber das hier ist ein kleines Indie-Spiel. Erwarte nicht, zufällige Mitspieler zu finden! Das Spiel ist supergünstig – verschenke es an deine Freunde!","Функция подбора матчей существует, но это крошечная инди-игра. Не ожидай найти тут случайных людей, с которыми будешь сражаться! Игра очень дешевая — купи пару копий своим друзьям!","Є матчмейкінг, але це крихітна інді-гра. Не чекай, що знайдеш рандомів для битви! Це супердешево: купи пару копій для своїх друзів!",マッチメークが行われますが、ちっぽけなインディゲームです。戦う相手となる野良が見つかることは期待しないでください！安いゲームですから何本か買って友人にあげましょう！,配对成功，但这仅仅是一个小的独立游戏。别指望能和随机对手去战斗！它超级便宜-给您的朋友们买几套吧！,有配對，但這是一小型獨立製作的遊戲。別期待會有陌生人來戰鬥！這個超便宜 - 買一些給你的朋友吧！
MATCHMAKER_2_PLAYERS,2 players,2 jugadores,2 graczy,2 Spieler,2 игрока,2 гравця,プレイヤー2人,2位玩家,雙人
MATCHMAKER_3_PLAYERS,3 players,3 jugadores,3 graczy,3 Spieler,3 игрока,3 гравця,プレイヤー3人,3位玩家,三人
MATCHMAKER_4_PLAYERS,4 players,4 jugadores,4 graczy,4 Spieler,4 игрока,4 гравця,プレイヤー4人,4位玩家,四人
MATCHMAKER_PLAYERS_FIELD_LABEL,Find at least:,Encontrar,Znajdź co najmniej:,Finde mindestens:,Найти хотя бы:,Знайди хоча б:,探す最低人数：,至少找到：,至少找到：
MENU_BATTLE,Battle!,¡Batalla!,Bitwa!,Kampf!,Сражаться!,Битву!,戦闘！,开战！,戰鬥！
MENU_CREDITS,Credits,Créditos,Autorzy,Credits,Авторы,Автори,クレジット,点数,製作功勞名單
MENU_EXIT,Exit,Salir,Wyjdź,Beenden,Выход,Вийти,終了,退出,離開
MENU_PRACTICE,Practice,Práctica,Trening,Übung,Тренироваться,Практика,練習,练习,練習
MENU_SETTINGS,Settings,Ajustes,Ustawienia,Einstellungen,Настройки,Налаштування,設定,设置,設定
MESSAGE_CREATE_ACCOUNT_FAILED,Unable to create account,Imposible crear una cuenta,Nie można założyć konta,Konto kann nicht erstellt werden,Не удалось создать аккаунт,Не вдається створити акаунт,アカウントの作成ができません,创建账户失败,無法建立帳號
MESSAGE_CREATING_ACCOUNT,Creating account...,Creando cuenta...,Tworzenie konta...,Konto erstellen …,Создание аккаунта…,Створення акаунту...,アカウント作成中,创建账户......,正在建立帳號…
MESSAGE_EMAIL_REQUIRED,Must provide email,Debes proporcionar un e-mail,Musisz podać adres e-mail,E-Mail-Adresse erforderlich,Необходимо указать эл. почту,Необхідно надати адресу електронної пошти,メールアドレスを入力してください,必须提供电子邮箱,必須提供電子信箱
MESSAGE_EMAIL_TAKEN,E-mail already in use,E-mail ya en uso,Ten e-mail jest już zajęty,E-Mail-Adresse wird bereits verwendet,Эта эл. почта уже занята,Адреса електронної пошти вже використовується,メールアドレスはすでに使用されています,该电子邮箱已注册,電子信箱已被使用
MESSAGE_INSTANT_DEATH,INSTANT DEATH!,¡MUERTA INSTANTÁNEA!,NATYCHMIASTOWA ŚMIERĆ!,SOFORTIGER TOD!,МГНОВЕННАЯ СМЕРТЬ!,МИТТЄВА СМЕРТЬ!,瞬殺！,突然死亡！,驟死！
MESSAGE_SESSION_LOGGING_IN,Logging in...,Accediendo,Logowanie...,Anmelden …,Вход в систему…,Вхід в систему...,ログイン中...,读取中,正在登入中 …
MESSAGE_LOGIN_FAILED,Login failed!,¡Acceso fallido!,Logowanie nie powiodło się!,Anmeldung fehlgeschlagen!,Не удалось войти!,Вхід не вдався!,ログイン失敗！,读取失败！,登入失敗！
MESSAGE_LOGIN_FAILED_STEAM,Unable to connect to Steam. Please try again later.,"Imposible conectar a Steam. Por favor, inténtalo de nuevo más tarde.",Nie można połączyć się ze Steam. Spróbuj ponownie później.,Verbindung zu Steam nicht möglich. Bitte versuche es später erneut.,"Не удается подключиться к Steam. Пожалуйста, попробуй позже.","Не вдається підключитися до Steam. Будь ласка, спробуй пізніше.",Steamに接続できません。しばらくしてから再びお試しください。,无法连接到Steam。请稍后再试。,無法連接到Stream。請稍後再試。
MESSAGE_LOOKING_FOR_MATCH,Looking for match...,Buscando una partida...,Szukanie meczu...,Suchen nach Match …,Поиск матча…,Пошук матчу...,マッチを検索中…,查找配对中......,尋找對戰…
MESSAGE_MATCH_ID_REQUIRED,Need to paste Match ID to join,Se necesita pegar el Match ID para unirse,"Musisz wkleić ID meczu, aby dołączyć","Du musst die Match-ID einfügen, um beizutreten","Чтобы присоединиться, нужно вставить ID матча",Потрібно вставити ідентифікатор матчу для приєднання,参加するにはマッチIDをペーストしなくてはなりません,需要粘贴比赛编号以加入,需要貼上對戰ID來參加
MESSAGE_NETWORK_ISSUES,"If you're having issues, try different ""Network Relay"" settings before starting a match.","Si tienes problemas, prueba diferentes configuraciones de ""Relé de red"" antes de empezar una partida.","Jeśli masz problemy, przed rozpoczęciem meczu spróbuj różnych opcji dla ""Przekaźnik sieci"" z ustawień z menu gry.","Wenn du Probleme hast, probiere verschiedene „Netzwerk-Relais“-Einstellungen aus, bevor du ein Match beginnst.","Если у тебя возникли проблемы, попробуй установить другие варианты «Сетевой ретрансляции» перед началом матча.","Якщо у тебе виникли проблеми, спробуй інші налаштування ""мережеве реле"", перш ніж починати матч.",問題が発生するようでしたら、マッチを開始する前に別の「ネットワークリレー」設定をお試しください。,如果您遇到问题，请在开始比赛前尝试不同的“网络中继”设置。,如果你遇到困難，請在開始對戰以前，先嘗試「網路中繼」設定。
MESSAGE_NO_USER_ACCOUNT,No user account found,No se encontró la cuenta de usuario,Nie znaleziono konta użytkownika,Kein Benutzerkonto gefunden,Аккаунт пользователя не найден,Акаунт користувача не знайдено,ユーザーアカウントは検索されませんでした,未找到该账户,找不到使用者帳號
MESSAGE_PASSWORD_REQUIRED,Must provide password,Debes proveer una contraseña,Musisz podać hasło,Passwort erforderlich,Необходимо указать пароль,Необхідно надати пароль,パスワードを入力してください,必须填写密码,必須提供密碼
MESSAGE_PASSWORD_RESET_FAILED,Unable to send password reset email! Try again later.,No se ha podido enviar el correo electrónico de restablecimiento de la contraseña. Vuelve a intentarlo más tarde.,Nie można wysłać e-maila z resetem hasła! Spróbuj ponownie później.,E-Mail zum Zurücksetzen des Passworts kann nicht gesendet werden! Versuche es später erneut.,Не удалось отправить письмо для сброса пароля! Попробуй позже.,Не вдається надіслати електронний лист для скидання пароля! Повтори спробу пізніше.,パスワード再設定のメールが送信できませんでした！しばらくしてから再びお試しください。,发送重置密码邮件失败！请稍后再试。,無法傳送密碼重設電子郵件！請稍後再試。
MESSAGE_PASSWORD_RESET_SENDING,Sending password reset e-mail...,Mandando el restablecimiento de la contraseña al e-mail...,Wysyłanie wiadomości e-mail z resetem hasła...,E-Mail zum Zurücksetzen des Passworts senden …,Отправка письма для сброса пароля…,Надсилання електронного листа для скидання пароля...,パスワード再設定メールを送信中…,重置密码邮件发送中......,正在傳送密碼重設電子郵件…
MESSAGE_PASSWORD_RESET_SENT,Password reset email sent!,¡Email de restablecimiento de la contraseña enviado!,Wysłano wiadomość e-mail z resetem hasła!,E-Mail zum Zurücksetzen des Passworts gesendet!,Письмо для сброса пароля отправлено!,Електронного листа для скидання пароля надіслано!,パスワード再設定メールの送信完了！,重置密码邮件已发送！,密碼重設電子郵件已傳送！
MESSAGE_PLAYER_DEAD,Wasted!,¡Muerto!,Zgon!,Besiegt!,Тебя убили!,Втрата!,死亡！,被干掉了！,倒下了！
MESSAGE_PLAYER_HAS_LEFT,%s has left!,%s se ha ido!,Gracz %s wyszedł!,%s hat das Spiel verlassen!,%s ушел!,%s вийшов!,%s はいなくなりました！,还剩%s！,%s 已離開！
MESSAGE_PLAYER_HAS_LEFT_NOT_ENOUGH_PLAYERS,%s has left - not enough players!,"%s se ha ido, no hay suficientes jugadores!",Gracz %s wyszedł - za mało graczy!,%s hat das Spiel verlassen – nicht genügend Spieler!,%s ушел — недостаточно игроков!,%s вийшов — не вистачає гравців!,%s がいなくなりプレイヤー数不足です！,还剩%s - 玩家不足！,%s 已離開 - 玩家不足！
MESSAGE_PLAYER_LOSE,You lose!,¡Perdiste!,Przegrywasz!,Du verlierst!,Ты проиграл!,Ви програли!,敗退！,您输了！,你輸了！
MESSAGE_PLAYER_WINS_DEATHMATCH,%s WINS THIS DEATH MATCH!,%s GANA ESTE COMBATE A MUERTE!,%s WYGRYWA TEN DEATHMATCH!,%s GEWINNT DIESES DEATHMATCH!,%s ВЫИГРАЛ ЭТУ СМЕРТЕЛЬНУЮ СХВАТКУ!,%s ВИГРАЄ ЦЕЙ СМЕРТЕЛЬНИЙ МАТЧ!,%s がこのデスマッチを勝利！,%s 赢得了这场死亡比赛！,%s 贏得了這場死鬥！
MESSAGE_PLAYER_WINS_MATCH,%s WINS THE MATCH!,%s GANA LA PARTIDA!,%s WYGRYWA MECZ!,%s GEWINNT DIESES MATCH!,%s ВЫИГРАЛ ЭТОТ МАТЧ!,%s ВИГРАЄ МАТЧ!,%s がマッチを勝利！,%s 赢得了比赛!,%s 贏得了這場比賽！
MESSAGE_PLAYER_WINS_ROUND,%s wins this round!,%s gana esta ronda!,%s wygrywa tę rundę!,%s GEWINNT DIESE RUNDE!,%s победил в этом раунде!,%s виграє цей раунд!,%s がこのラウンドを勝利！,%s 这一轮获得了胜利！,%s 贏得了這回合！
MESSAGE_SESSION_EXPIRED,Session expired! Reconnecting...,¡Sesión caducada! Reconectando...,Sesja wygasła! Ponowne łączenie...,Sitzung abgelaufen! Neu verbinden …,Сессия истекла! Повторное подключение…,Сеанс закінчився! Перепідключення...,セッションは時間切れです！,会话已过期！正在重新连接......,已過期！重新連線…
MESSAGE_SESSION_EXPIRED_STEAM,Session expired! Reconnecting via Steam...,¡Sesión caducada! Reconectando vía Steam...,Sesja wygasła! Ponowne łączenie przez Steam...,Sitzung abgelaufen! Neu verbinden über Steam …,Сессия истекла! Повторное подключение через Steam…,Сеанс закінчився! Повторне підключення через Steam...,セッションは時間切れです！Steamから再接続中…,会话已过期！正在通过Steam重新连接......,已過期！透過Steam重新連線…
MESSAGE_SESSION_LOGGING_IN_STEAM,Logging in via Steam...,Conectando vía Steam...,Logowanie przez Steam...,Anmelden über Steam …,Вход через Steam…,Вхід через Steam...,Steamからログイン中…,正在通过Steam登录......,透過Stream登入
MESSAGE_SETUP_CLIENT,The host is configuring the match...,El anfitrión está configurando la partida...,Gospodarz konfiguruje mecz...,Der Host konfiguriert das Match …,Хост настраивает матч…,Господар налаштовує матч...,ホストがマッチを設定中…,房主正在设置比赛......,主人正在安排對戰…
MESSAGE_SETUP_HOST,You're the host! How you wanna do this?,¡Tú eres el anfitrión! ¿Cómo quieres hacer esto?,Ty jesteś gospodarzem! Ustal zasady gry.,Du bist der Host! Wie möchtest du das machen?,Ты — хост! Как ты хочешь это сделать?,Ти господар! Як ти хочеш це зробити?,あなたがホストです！どう設定しますか？,您是房主！您想怎么玩？,你是主人！你想怎麼做呢？
MESSAGE_SYNCHRONIZATION_LOST,Synchronization lost,Sincronización perdida,Synchronizacja utracona,Synchronisation verloren,Синхронизация потеряна,Синхронізація втрачена,同期が外れました！,同步丢失,同步化遺失
MESSAGE_TEAM_NEEDS_PLAYERS,Each team must have at least 1 player!,¡Cada equipo debe tener al menos 1 jugador!,Każda drużyna musi mieć co najmniej 1 gracza!,Jedes Team muss mindestens einen Spieler haben!,В каждой команде должен быть хотя бы 1 игрок!,У кожній команді має бути не менше 1 гравця!,各チームに最低プレイヤー1人が必要です！,每支队伍至少要有一位玩家！,每一隊至少要有一名玩家！
MESSAGE_USERNAME_REQUIRED,Must provide username,Debes proveer un nombre de usuario,Nazwa użytkownika wymagana,Benutzername erforderlich,Нужно указать имя пользователя,Необхідно вказати ім'я користувача,ユーザー名を入力してください,必须提供用户名,必須提供使用者名稱
MESSAGE_USERNAME_TAKEN,Username already taken,Nombre de usuario ya ocupado,Nazwa użytkownika już zajęta,Benutzername bereits vergeben,Имя пользователя уже занято,Ім'я користувача вже взято,ユーザー名はすでに使用されています,用户名已被占用,使用者名稱已被使用
MODE_DESCRIPTION_BATTLE_ROYALE,The last tank standing wins the round.,El último tanque en pie gana la ronda.,Ostatni czołg przy życiu wygrywa rundę.,Der letzte verbliebene Panzer gewinnt die Runde.,Последний оставшийся танк побеждает в раунде.,Останній стоячий танк перемагає в раунді.,最後まで残った戦車がラウンドの勝者です。,最后存活的坦克获得本轮的胜利。,最後一個還活著的坦克獲勝。
MODE_DESCRIPTION_DEATHMATCH,The tank with the most kills wins.,El tanque con más muertes gana.,Czołg z największą liczbą zabitych wygrywa.,Der Panzer mit den meisten Kills gewinnt.,Побеждает танк с наибольшим количеством убийств.,Перемагає танк з найбільшою кількістю знищень суперника.,キル数の最も多い戦車が勝者です。,击杀数最高的坦克获胜。,殺敵最多的坦克獲勝。
MODE_DESCRIPTION_FOOTBALL,Carry the ball to the goal to score points.,Lleva el balón a la portería para conseguir puntos.,"Przenoś piłki do bramki, aby zdobywać punkty.","Trage den Ball ins Tor, um zu punkten.","Принеси мяч к воротам, чтобы набрать очки.","Піднесіть м'яч до воріт, щоб набрати очки.",ボールをゴールまで運んでポイントを獲得します。,将球带到球门得分。,帶著球到球門以得分。
MODE_NAME_BATTLE_ROYALE,Battle Royale,Battle Royale,Battle Royale,Battle Royale,Королевская битва,Королівська битва,バトルロイヤル,大逃杀,大逃殺
MODE_NAME_DEATHMATCH,Deathmatch,Partida a muerte,Deathmatch,Deathmatch,Смертельная схватка,Смертельний матч,デスマッチ,死亡比赛,死鬥
MODE_NAME_FOOTBALL,Football,Fútbol,Piłka nożna,Fußball,Футбол,Футбол,フットボール,足球,橄欖球
NETWORK_RELAY_OPTION_AUTO,Auto,Auto,Automatyczny,Automatisch,Авто,Автоматичне,自動,自动,自動
NETWORK_RELAY_OPTION_DISABLED,Disabled,Desactivado,Wyłączony,Deaktiviert,Отключено,Вимкнуто,無効,禁用,關閉
NETWORK_RELAY_OPTION_FALLBACK_AUTO,Fallback (Auto),Retroceso (Auto),Awaryjny (Auto),Fallback (automatisch),Резервный (авто),Резерв (авто),フォールバック（自動）,回退（自动）,備用（自動）
NETWORK_RELAY_OPTION_FALLBACK_FORCED,Fallback,Retroceso (Auto),Awaryjny,Fallback,Резервный,Резерв,フォールバック,回退,備用
NETWORK_RELAY_OPTION_FORCED,Forced,Forzado,Wymuszony,Erzwungen,Принудительно,Примусове,強制,强制,強制
ONLINE_MATCH_ERROR_CLIENT_JOIN_ERROR,Client not allowed to join,Cliente no permitido para unirse,Nie zezwolono klientowi na dołączenie,Client darf nicht beitreten,Клиент не может присоединиться,Клієнту не дозволяється приєднатися,クライエントは参加が許可されていません,客户机被禁止加入,客人不被允許加入
ONLINE_MATCH_ERROR_CLIENT_VERSION_ERROR,Client version doesn't match host,La versión del cliente no coincide con el host,Wersja klienta nie pasuje do tej gospodarza,Client-Version stimmt nicht mit Host überein,Версия клиента не соответствует версии хоста,Клієнтська версія не відповідає хосту,クライエントのバージョンがホストとマッチしません,客户机版本与房主的不匹配,客人的版本和主人不同
ONLINE_MATCH_ERROR_JOIN_MATCH_FAILED,Unable to join match,Imposible unirse a la partida,Nie można dołączyć do meczu,Match-Beitritt nicht möglich,Не удалось присоединиться к матчу,Не вдається приєднатися до матчу,マッチに参加できません,无法加入比赛,無法參與對戰
ONLINE_MATCH_ERROR_MATCH_CREATE_FAILED,Failed to create match,No se ha podido crear la partida,Nie udało się stworzyć meczu,Match-Erstellung fehlgeschlagen,Не удалось создать матч,Не вдалося створити матч,マッチの作成に失敗,创建比赛失败,建立對戰失敗
ONLINE_MATCH_ERROR_MATCH_HAS_ALREADY_BEGUN,Sorry! The match has already begun.,¡Lo siento! La partida ya empezó.,Przepraszamy! Mecz już się rozpoczął.,Leider hat das Match bereits begonnen.,Извини! Матч уже начался.,Вибач! Матч вже розпочався.,すみません！マッチはすでに始まりました。,抱歉！比赛已经开始了。,抱歉！對戰已經開始了。
ONLINE_MATCH_ERROR_MATCH_IS_FULL,Sorry! The match is full.,¡Lo siento! La partida está completa.,Przepraszamy! Mecz ma pełny skład osobowy.,Leider ist das Match voll.,Извини! В матче нет места.,Вибач! Матч заповнений.,すみません！マッチは満員です。,抱歉！比赛已经满员。,抱歉！對戰已經滿人了。
ONLINE_MATCH_ERROR_MATCHMAKER_ERROR,Matchmaker error,Error de emparejamiento,Błąd systemu doboru graczy,Matchmaker-Fehler,Ошибка поиска матчей,Помилка матчмейкінгу,マッチメーカーにエラーが発生,匹配错误,配對安排錯誤
ONLINE_MATCH_ERROR_START_MATCHMAKING_FAILED,Unable to join match making pool,Imposible unirse al grupo de emparejamiento,Nie można dołączyć do puli systemu doboru graczy,Beitritt zum Matchmaking-Pool nicht möglich,Не удалось присоединиться к пулу подбора игроков,Не вдається приєднатися до пулу створення матчів,マッチメークに参加できません,无法加入配对池,無法加入配對池
ONLINE_MATCH_ERROR_WEBSOCKET_CONNECTION_ERROR,WebSocket connection error,Error de conexión WebSocket,Błąd połączenia protokołu WebSocket,WebSocket-Verbindungsfehler,Ошибка подключения через веб-сокет,Помилка з'єднання WebSocket,ウェブソケットの接続エラー,WebSocket连接错误,WebSoclet 連線錯誤
OPTION_10_SECOND,10 sec,10 seg,10 s,10 s,10 сек.,10 сек.,10秒,10秒,10 秒
OPTION_20_SECOND,20 sec,20 seg,20 s,20 s,20 сек.,20 сек.,20秒,20秒,20 秒
OPTION_30_SECOND,30 sec,30 seg,30 s,30 s,30 сек.,30 сек.,30秒,30秒,30 秒
OPTION_40_SECOND,40 sec,40 seg,40 s,40 s,40 сек.,40 сек.,40秒,40秒,40 秒
OPTION_50_SECOND,50 sec,50 seg,50 s,50 s,50 сек.,50 сек.,50秒,50秒,50 秒
OPTION_60_SECOND,60 sec,60 seg,60 s,60 s,60 сек.,60 сек.,60秒,60秒,60 秒
OPTION_1_MINUTE,1 min,2 min,1 min,1 min,1 мин.,1 хв.,1分,1分钟,1 分鐘
OPTION_2_MINUTE,2 min,3 min,2 min,2 min,2 мин.,2 хв.,2分,2分钟,2 分鐘
OPTION_3_MINUTE,3 min,4 min,3 min,3 min,3 мин.,3 хв.,3分,3分钟,3 分鐘
OPTION_4_MINUTE,4 min,5 min,4 min,4 min,4 мин.,4 хв.,4分,4分钟,4 分鐘
OPTION_5_MINUTE,5 min,6 min,5 min,5 min,5 мин.,5 хв.,5分,5分钟,5 分鐘
OPTION_6_MINUTE,6 min,7 min,6 min,6 min,6 мин.,6 хв.,6分,6分钟,6 分鐘
OPTION_7_MINUTE,7 min,8 min,7 min,7 min,7 мин.,7 хв.,7分,7分钟,7 分鐘
OPTION_8_MINUTE,8 min,9 min,8 min,8 min,8 мин.,8 хв.,8分,8分钟,8 分鐘
OPTION_9_MINUTE,9 min,10 min,9 min,9 min,9 мин.,9 хв.,9分,9分钟,9 分鐘
OPTION_10_MINUTE,10 min,11 min,10 min,10 min,10 мин.,10 хв.,10分,10分钟,10 分鐘
OPTION_DISABLED,Disabled,Desactivado,Wyłączone,Deaktiviert,Отключено,Вимкнуто,無効,禁用,關閉使用
OPTION_ENABLED,Enabled,Activado,Włączone,Aktiviert,Включено,Увімкнуто,有効,启用,開啟使用
OPTION_NEVER,Never,Nunca,Nigdy,Nie,Никогда,Ніколи,決してしない,永不,從不
OPTION_NONE,None,Nada,Brak,Keine,Отсутствует,Ніхто,しない,无,沒有
OPTION_NO,No,No,Nie,Nein,Нет,Ні,いいえ,不,否
OPTION_YES,Yes,Sí,Tak,Ja,Да,Так,はい,是,是
PASSWORD_FIELD_LABEL,Password:,Contraeña:,Hasło:,Passwort:,Пароль:,Пароль:,パスワード：,密码：,密碼：
PICKUP_NAME_HEALTH,Health,Salud,Zdrowie,Gesundheit,Здоровье,Здоров’я,HP,健康,生命值
PLAYER_NAME_PRACTICE,Practice,Práctica,Trening,Übung,Тренировка,Практика,練習,练习,練習
PLAYER_PING,%sms,%sms,%s ms,%s ms,%sms,%sms,%sms,%sms,%sms
PLAYER_STATUS_CONNECTED,Connected.,Conectado.,Połączono.,Verbunden.,Подключено.,Підключено.,接続済み,已连接。,已連線
PLAYER_STATUS_CONNECTING,Connecting...,Conectando.,Łączenie...,Verbinden …,Подключение…,Підключення...,接続中…,正在连接中......,正在連線…
PLAYER_STATUS_READY,READY!,¡Listo!,GOTOWY!,BEREIT!,ГОТОВ!,ГОТОВИЙ!,準備完了！,预备！,準備！
POINTS_TO_WIN_FIELD_LABEL,Points to win,Puntos para ganar,L. punktów do zwycięstwa,Punkte zum Sieg,Очки для победы,Очки для перемоги,勝利するためのポイント,获胜所需积分,得分以贏得勝利
SESSION_SETUP_TAB_CREATE_ACCOUNT,Create account,Crear cuenta,Załóż konto,Konto erstellen,Создать аккаунт,Створити акаунт,アカウント作成,创建账户,建立帳號
SESSION_SETUP_TAB_FORGOT_PASSWORD,Forgot password?,¿Olvidaste la contraseña?,Nie pamiętasz hasła?,Passwort vergessen?,Забыл пароль?,Забули пароль?,パスワードをお忘れですか？,忘记密码了？,忘記密碼？
SESSION_SETUP_TAB_LOGIN,Login,Acceder,Zaloguj się,Anmeldung,Войти,Логін,ログイン,登录,登入
SESSION_SETUP_TAB_STEAM,Steam,Steam,Steam,Steam,Steam,Steam,Steam,Steam,Steam
SESSION_SETUP_TAB_STEAM_MESSAGE,"If you already have a SnopekGames account, use the ""Login"" tab and it'll link your Steam account for the future. Otherwise, you'll end up with two accounts.","Si ya tienes una cuenta de SnopekGames, utiliza la pestaña ""Acceder"" y se vinculará tu cuenta de Steam para el futuro. De lo contrario, acabarás teniendo dos cuentas.","Jeśli masz już konto na SnopekGames, użyj karty ""Zaloguj się"", a podłączy ona Twoje konto ze Steam na przyszłość. W przeciwnym razie będziesz mieć dwa konta.","Solltest du bereits ein SnopekGames-Konto haben, gehe auf die Registerkarte „Anmelden“, um dein Steam-Konto für die Zukunft zu verknüpfen. Andernfalls hast du am Ende zwei Konten.","Если у тебя уже есть аккаунт SnopekGames, используй вкладку «Вход», и она свяжет твой аккаунт Steam. В противном случае у тебя будет два аккаунта.","Якщо у тебе вже є акаунт SnopekGames, скористайся вкладкою ""Увійти"", і вона зв'яже твій акаунт Steam на майбутнє. В іншому випадку ти отримаєш два акаунти.",SnopekGamesのアカウントをすでにお持ちの場合「ログイン」タブをお使いいただきましたら今後はSteamアカウントとリンクします。そうしない場合にはアカウント数が2つとなります。,如果你已经有一个SnopekGames账户，请使用“登录”选项卡，它将连接您的Steam账户以备将来使用。否则，您将拥有两个账户。,如果你已經擁有 SnopekGames 的帳號，請使用「登入」鍵，以後都會連結到你的 Steam 帳號。否則，你最後會變成有兩個帳號。
SETTING_ART_STYLE,Art style,Estilo artístico,Styl graficzny,Kunststil,Стиль рисунков,Художній стиль,アートスタイル,艺术风格,藝術風格
SETTING_CONTROL_SCHEME,Control scheme,Esquema de control,Schemat sterowania,Kontrollschema,Схема управления,Схема управління,コントロール設定,控制方案,控制系統
SETTING_DETAILED_LOGGING,Detailed logging,Acceso detallado,Szczegółowe logowanie,Detaillierte Aufzeichnung,Подробный журнал,Детальний журнал,詳細なロギング,详细日志记录,詳細的日誌紀錄
SETTING_FULL_SCREEN,Full screen,Pantalla completa,Pełny ekran,Vollbildschirm,На полный экран,Повноекранний режим,フル画面,全屏,全螢幕
SETTING_GAMEPAD_DEVICE,Gamepad device,Dispositivo Gamepad,Urządzenie do sterowania,Gamepad-Gerät,Геймпад,Пристрій геймпада,ゲームパッドデバイス,游戏手柄设备,遊戲把手裝置
SETTING_LANGUAGE,Language,Idioma,Język,Sprache,Язык,Мова,言語,语言,語言
SETTING_MUSIC,Music,Música,Muzyka,Musik,Музыка,Музика,音楽,音乐,音樂
SETTING_NETWORK_RELAY,Network relay,Relé de red,Przekaźnik sieci,Netzwerk-Relais,Сетевая ретрансляция,Мережеве реле,ネットワークリレー,网络中继,網路中繼
SETTING_SCREEN_SHAKE,Screen shake,Sacudida de pantalla,Wstrząsy ekranu,Verwackeln des Bildschirms,Дрожание экрана,Струс екрану,画面揺れ,屏幕抖动,畫面晃動
SETTING_SOUND,Sound,Sonido,Dźwięk,Ton,Звук,Звук,サウンド,声音,音效
SETTING_TANK_ENGINE_SOUNDS,Tank engine sounds,Sonidos del motor del tanque,Dźwięki silnika czołgu,Geräusche von Panzermotoren,Звуки танкового двигателя,Звуки двигуна танка,戦車エンジン音,坦克引擎音效,坦克引擎音效
SETTINGS_TITLE,Settings,Ajustes,Ustawienia,Einstellungen,Настройки,Налаштування,設定,设置,設定
TEAMS_FIELD_LABEL,Teams,Equipos,Drużyny,Teams,Команды,Команди,チーム,战队,團隊
TIMELIMIT_FIELD_LABEL,Timelimit,Limite de tiempo,Limit czasu,Zeitlimit,Лимит времени,Ліміт часу,制限時間,时间限制,時間限制
TITLE_PRESS_ANY_KEY,Press any key (or click) to start,Presiona cualquier tecla (o click) para empezar,"Naciśnij dowolny klawisz lub kliknij, aby rozpocząć","Drücke eine beliebige Taste (oder klicke), um zu beginnen","Нажми любую клавишу (или кликни), чтобы начать","Натисни будь-яку клавішу (або клацни), щоб почати",いずれかのキーを押して（またはクリックして）開始します,按任意键（或单击）开始,按住任何鍵（或點擊）來開始
USERNAME_FIELD_LABEL,Username:,Nombre de usuario:,Nazwa użytkownika:,Benutzername:,Имя пользователя:,Ім'я користувача:,ユーザー名：,用户名：,使用者名稱：
WEAPON_FIELD_LABEL,Weapon,Arma,Broń,Waffe,Оружие,Зброя,武器,武器,武器
WEAPON_NAME_FOOTBALL,Football,Fútbol,Piłka do gry,Fußball,Футбол,Футбол,フットボール,足球,橄欖球
WEAPON_NAME_NORMAL,Normal,Normal,Normalna,Normal,Обычное,Нормальна,ノーマル,正常,正常
WEAPON_NAME_RAILGUN,Railgun,Cañón de riel,Elektromagnetyczna,Railgun,Рейлган,Рельсотрон,レールガン,轨道炮,磁軌砲
WEAPON_NAME_SPREAD,Spread,Arma de fuego,Rozprysk,Spread,Спред,Поширення,散弾,散射,散射槍
WEAPON_NAME_TRACER,Tracer,Rastreador,Namierzanie,Tracer,Трейсер,Трасуючий снаряд,曳光弾,追踪,曳光彈
WEAPON_TIMEOUT_FIELD_LABEL,Weapons last,Últimas armas,Czas trwania broni,Waffen halten,Оружие доступно,Остання зброя,武器持続時間,仅剩的武器,武器延續
MENU_RETURN_TO_MATCH,Return to match,Volver al partido,Wracaj do meczu,Zurück zum match,Вернуться к матчу,Повернутися до мату,試合に戻る,返回匹配,返回匹配
TEAMS_TITLE,Teams,Equipos,Drużyny,Teams,Команды,Команди,チーム,战队,團隊
TEAM_NAME_RED,Red,,,,,,,,
TEAM_NAME_BLUE,Blue,,,,,,,,
